antecedent,consequent,support,confidence
"Speaker_Rating_3([0, 1]) AND Participant_Rating_2([0, 1]) AND Overall_Rating_2([0, 1])","Venue_Rating_3([0, 1]) AND Participant_Rating_1([0, 1]) AND Allowance_Rating_2([0, 1])",1.0,1.0
"Objectives_Met_1([0, 1]) AND Venue_Rating_1([0, 1]) AND Schedule_Rating_2([0, 1])","Overall_Rating_2([0, 1]) AND Participant_Rating_2([0, 1])",1.0,1.0
"Objectives_Met_1([0, 1]) AND Overall_Rating_3([0, 1]) AND Venue_Rating_1([0, 1]) AND Allowance_Rating_3([0, 1]) AND Schedule_Rating_2([0, 1]) AND Speaker_Rating_2([0, 1]) AND Facilitator_Rating_3([0, 1]) AND Schedule_Rating_3([0, 1]) AND Overall_Rating_2([0, 1])","Participant_Rating_1([0, 1])",1.0,1.0
"Allowance_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Overall_Rating_1([0, 1]) AND Overall_Rating_3([0, 1]) AND Schedule_Rating_2([0, 1])","Overall_Rating_2([0, 1]) AND Participant_Rating_2([0, 1]) AND Objectives_Met_2([0, 1])",1.0,1.0
"Venue_Rating_1([0, 1]) AND Speaker_Rating_2([0, 1]) AND Overall_Rating_3([0, 1])","Participant_Rating_1([0, 1])",1.0,1.0
"Venue_Rating_3([0, 1]) AND Participant_Rating_1([0, 1]) AND Objectives_Met_1([0, 1]) AND Allowance_Rating_3([0, 1]) AND Venue_Rating_1([0, 1])","Overall_Rating_2([0, 1]) AND Schedule_Rating_2([0, 1]) AND Participant_Rating_2([0, 1])",1.0,1.0
"Venue_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Allowance_Rating_3([0, 1]) AND Schedule_Rating_2([0, 1]) AND Facilitator_Rating_2([0, 1]) AND Objectives_Met_2([0, 1])","Participant_Rating_2([0, 1])",1.0,1.0
"Venue_Rating_3([0, 1]) AND Objectives_Met_1([0, 1])","Venue_Rating_1([0, 1]) AND Overall_Rating_2([0, 1])",1.0,1.0
"Schedule_Rating_3([0, 1]) AND Venue_Rating_1([0, 1]) AND Allowance_Rating_2([0, 1])","Objectives_Met_3([0, 1]) AND Objectives_Met_2([0, 1]) AND Allowance_Rating_3([0, 1])",1.0,1.0
"Objectives_Met_1([0, 1])","Schedule_Rating_3([0, 1]) AND Venue_Rating_3([0, 1]) AND Objectives_Met_3([0, 1]) AND Overall_Rating_3([0, 1]) AND Allowance_Rating_2([0, 1]) AND Participant_Rating_2([0, 1]) AND Speaker_Rating_3([0, 1])",1.0,1.0
"Objectives_Met_1([0, 1]) AND Venue_Rating_3([0, 1]) AND Venue_Rating_2([0, 1]) AND Overall_Rating_3([0, 1])","Schedule_Rating_2([0, 1]) AND Overall_Rating_2([0, 1]) AND Objectives_Met_3([0, 1])",1.0,1.0
"Participant_Rating_2([0, 1]) AND Overall_Rating_1([0, 1]) AND Speaker_Rating_3([0, 1]) AND Objectives_Met_3([0, 1]) AND Allowance_Rating_2([0, 1])","Objectives_Met_2([0, 1])",1.0,1.0
"Participant_Rating_2([0, 1])","Objectives_Met_2([0, 1]) AND Venue_Rating_3([0, 1]) AND Speaker_Rating_3([0, 1]) AND Overall_Rating_2([0, 1])",1.0,1.0
"Venue_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Schedule_Rating_2([0, 1]) AND Speaker_Rating_3([0, 1])","Overall_Rating_2([0, 1]) AND Participant_Rating_1([0, 1]) AND Objectives_Met_3([0, 1]) AND Participant_Rating_2([0, 1])",1.0,1.0
"Overall_Rating_3([0, 1])","Facilitator_Rating_2([0, 1])",1.0,1.0
"Speaker_Rating_2([0, 1])","Speaker_Rating_3([0, 1]) AND Schedule_Rating_2([0, 1])",1.0,1.0
"Speaker_Rating_3([0, 1]) AND Venue_Rating_3([0, 1])","Venue_Rating_2([0, 1]) AND Overall_Rating_2([0, 1]) AND Participant_Rating_1([0, 1]) AND Overall_Rating_1([0, 1]) AND Objectives_Met_1([0, 1])",1.0,1.0
"Venue_Rating_3([0, 1]) AND Schedule_Rating_2([0, 1]) AND Speaker_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Overall_Rating_2([0, 1]) AND Participant_Rating_1([0, 1])","Participant_Rating_2([0, 1])",1.0,1.0
"Venue_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Overall_Rating_3([0, 1])","Overall_Rating_2([0, 1])",1.0,1.0
"Venue_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Schedule_Rating_2([0, 1]) AND Speaker_Rating_3([0, 1]) AND Overall_Rating_2([0, 1])","Participant_Rating_2([0, 1])",1.0,1.0
"Objectives_Met_1([0, 1]) AND Schedule_Rating_2([0, 1])","Participant_Rating_2([0, 1]) AND Overall_Rating_2([0, 1]) AND Overall_Rating_3([0, 1]) AND Allowance_Rating_2([0, 1]) AND Venue_Rating_1([0, 1]) AND Speaker_Rating_3([0, 1])",1.0,1.0
"Venue_Rating_3([0, 1]) AND Participant_Rating_1([0, 1]) AND Objectives_Met_1([0, 1]) AND Allowance_Rating_3([0, 1])","Venue_Rating_1([0, 1]) AND Schedule_Rating_2([0, 1]) AND Overall_Rating_2([0, 1])",1.0,1.0
"Speaker_Rating_3([0, 1]) AND Objectives_Met_3([0, 1]) AND Overall_Rating_1([0, 1]) AND Allowance_Rating_2([0, 1]) AND Overall_Rating_3([0, 1]) AND Venue_Rating_3([0, 1])","Participant_Rating_2([0, 1])",1.0,1.0
"Participant_Rating_2([0, 1]) AND Venue_Rating_3([0, 1]) AND Speaker_Rating_3([0, 1]) AND Venue_Rating_2([0, 1])","Participant_Rating_1([0, 1]) AND Overall_Rating_2([0, 1]) AND Objectives_Met_1([0, 1])",1.0,1.0
"Objectives_Met_3([0, 1]) AND Speaker_Rating_3([0, 1]) AND Speaker_Rating_2([0, 1]) AND Overall_Rating_3([0, 1]) AND Venue_Rating_3([0, 1])","Overall_Rating_1([0, 1]) AND Allowance_Rating_2([0, 1]) AND Participant_Rating_2([0, 1])",1.0,1.0
"Venue_Rating_1([0, 1])","Participant_Rating_1([0, 1]) AND Participant_Rating_2([0, 1])",1.0,1.0
"Objectives_Met_1([0, 1]) AND Venue_Rating_1([0, 1]) AND Venue_Rating_3([0, 1])","Overall_Rating_3([0, 1]) AND Overall_Rating_2([0, 1])",1.0,1.0
"Overall_Rating_1([0, 1]) AND Objectives_Met_3([0, 1])","Speaker_Rating_3([0, 1]) AND Participant_Rating_3([0, 1]) AND Allowance_Rating_2([0, 1]) AND Speaker_Rating_2([0, 1]) AND Overall_Rating_3([0, 1]) AND Participant_Rating_2([0, 1]) AND Facilitator_Rating_2([0, 1])",1.0,1.0
"Speaker_Rating_2([0, 1])","Schedule_Rating_2([0, 1]) AND Overall_Rating_1([0, 1])",1.0,1.0
"Speaker_Rating_2([0, 1]) AND Participant_Rating_2([0, 1]) AND Objectives_Met_1([0, 1])","Schedule_Rating_2([0, 1]) AND Venue_Rating_1([0, 1]) AND Facilitator_Rating_3([0, 1])",1.0,1.0
"Overall_Rating_3([0, 1]) AND Schedule_Rating_2([0, 1]) AND Speaker_Rating_2([0, 1]) AND Venue_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Participant_Rating_3([0, 1])","Participant_Rating_2([0, 1])",1.0,1.0
"Venue_Rating_3([0, 1]) AND Objectives_Met_3([0, 1])","Objectives_Met_1([0, 1]) AND Overall_Rating_3([0, 1]) AND Overall_Rating_1([0, 1]) AND Overall_Rating_2([0, 1])",1.0,1.0
"Objectives_Met_1([0, 1]) AND Schedule_Rating_2([0, 1]) AND Venue_Rating_1([0, 1]) AND Schedule_Rating_3([0, 1])","Overall_Rating_2([0, 1]) AND Participant_Rating_2([0, 1])",1.0,1.0
"Speaker_Rating_3([0, 1])","Venue_Rating_2([0, 1]) AND Schedule_Rating_2([0, 1]) AND Allowance_Rating_2([0, 1]) AND Objectives_Met_2([0, 1]) AND Venue_Rating_3([0, 1]) AND Participant_Rating_1([0, 1])",1.0,1.0
"Venue_Rating_3([0, 1]) AND Overall_Rating_1([0, 1])","Speaker_Rating_3([0, 1])",1.0,1.0
"Schedule_Rating_2([0, 1])","Venue_Rating_1([0, 1]) AND Participant_Rating_1([0, 1]) AND Overall_Rating_2([0, 1]) AND Objectives_Met_3([0, 1])",1.0,1.0
"Venue_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Allowance_Rating_3([0, 1]) AND Venue_Rating_1([0, 1])","Participant_Rating_2([0, 1]) AND Overall_Rating_2([0, 1])",1.0,1.0
"Participant_Rating_2([0, 1]) AND Overall_Rating_2([0, 1]) AND Venue_Rating_3([0, 1])","Participant_Rating_1([0, 1])",1.0,1.0
"Objectives_Met_3([0, 1]) AND Speaker_Rating_3([0, 1]) AND Overall_Rating_1([0, 1]) AND Allowance_Rating_2([0, 1]) AND Overall_Rating_3([0, 1]) AND Speaker_Rating_2([0, 1]) AND Venue_Rating_3([0, 1]) AND Participant_Rating_1([0, 1])","Objectives_Met_1([0, 1]) AND Participant_Rating_3([0, 1]) AND Participant_Rating_2([0, 1]) AND Facilitator_Rating_2([0, 1])",1.0,1.0
"Overall_Rating_1([0, 1])","Objectives_Met_2([0, 1]) AND Venue_Rating_3([0, 1]) AND Objectives_Met_3([0, 1]) AND Speaker_Rating_3([0, 1]) AND Speaker_Rating_2([0, 1])",1.0,1.0
"Overall_Rating_1([0, 1])","Venue_Rating_1([0, 1]) AND Speaker_Rating_2([0, 1]) AND Venue_Rating_2([0, 1]) AND Overall_Rating_3([0, 1]) AND Objectives_Met_3([0, 1])",1.0,1.0
"Objectives_Met_2([0, 1]) AND Speaker_Rating_2([0, 1]) AND Participant_Rating_1([0, 1]) AND Venue_Rating_1(0)","Schedule_Rating_2([0, 1])",0.9826086956521739,1.0
"Objectives_Met_1([0, 1]) AND Overall_Rating_3([0, 1]) AND Overall_Rating_1([0, 1]) AND Overall_Rating_2([0, 1]) AND Venue_Rating_1(0) AND Schedule_Rating_2([0, 1])","Participant_Rating_2([0, 1]) AND Objectives_Met_2([0, 1])",0.9826086956521739,1.0
"Overall_Rating_3([0, 1]) AND Venue_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Objectives_Met_2([0, 1]) AND Schedule_Rating_2([0, 1]) AND Speaker_Rating_2([0, 1]) AND Venue_Rating_1(0)","Overall_Rating_2([0, 1])",0.9826086956521739,1.0
"Objectives_Met_2([0, 1]) AND Venue_Rating_1(0)","Schedule_Rating_2([0, 1]) AND Facilitator_Rating_2([0, 1])",0.9826086956521739,1.0
"Overall_Rating_3([0, 1]) AND Schedule_Rating_2([0, 1]) AND Venue_Rating_3([0, 1]) AND Speaker_Rating_2([0, 1]) AND Objectives_Met_1([0, 1]) AND Venue_Rating_1(0)","Participant_Rating_2([0, 1])",0.9826086956521739,1.0
Venue_Rating_1(0),"Speaker_Rating_2([0, 1]) AND Schedule_Rating_2([0, 1]) AND Speaker_Rating_3([0, 1])",0.9826086956521739,1.0
"Objectives_Met_3([0, 1]) AND Speaker_Rating_3([0, 1]) AND Overall_Rating_1(0)","Participant_Rating_2([0, 1]) AND Speaker_Rating_2([0, 1]) AND Allowance_Rating_2([0, 1]) AND Objectives_Met_2([0, 1]) AND Overall_Rating_3([0, 1])",0.9826086956521739,1.0
"Objectives_Met_2([0, 1]) AND Participant_Rating_1(0)","Speaker_Rating_2([0, 1]) AND Participant_Rating_3([0, 1]) AND Venue_Rating_2([0, 1]) AND Schedule_Rating_2([0, 1])",0.9739130434782609,1.0
"Speaker_Rating_3([0, 1]) AND Venue_Rating_2([0, 1]) AND Participant_Rating_1(0)","Overall_Rating_2([0, 1]) AND Overall_Rating_1([0, 1]) AND Objectives_Met_1([0, 1])",0.9739130434782609,1.0
"Venue_Rating_1([0, 1]) AND Participant_Rating_1(0) AND Venue_Rating_2([0, 1]) AND Schedule_Rating_3([0, 1])","Participant_Rating_3([0, 1]) AND Overall_Rating_2([0, 1]) AND Schedule_Rating_2([0, 1])",0.9739130434782609,1.0
"Overall_Rating_3([0, 1]) AND Objectives_Met_2([0, 1]) AND Speaker_Rating_2([0, 1]) AND Schedule_Rating_3([0, 1])","Speaker_Rating_3([0, 1]) AND Venue_Rating_1(0) AND Schedule_Rating_2([0, 1]) AND Participant_Rating_2([0, 1]) AND Participant_Rating_1([0, 1])",0.9826086956521739,0.9826086956521739
"Speaker_Rating_3([0, 1]) AND Overall_Rating_2([0, 1])","Objectives_Met_1([0, 1]) AND Participant_Rating_1([0, 1]) AND Participant_Rating_2([0, 1]) AND Venue_Rating_3([0, 1]) AND Overall_Rating_1(0) AND Allowance_Rating_2([0, 1])",0.9826086956521739,0.9826086956521739
"Schedule_Rating_3([0, 1]) AND Objectives_Met_3([0, 1])","Overall_Rating_1(0) AND Objectives_Met_2([0, 1]) AND Allowance_Rating_2([0, 1])",0.9826086956521739,0.9826086956521739
"Venue_Rating_3([0, 1])","Objectives_Met_1([0, 1]) AND Overall_Rating_3([0, 1]) AND Allowance_Rating_2([0, 1]) AND Overall_Rating_2([0, 1]) AND Venue_Rating_1(0) AND Speaker_Rating_3([0, 1])",0.9826086956521739,0.9826086956521739
"Objectives_Met_1([0, 1])","Venue_Rating_1(0) AND Schedule_Rating_2([0, 1]) AND Participant_Rating_2([0, 1]) AND Overall_Rating_3([0, 1]) AND Speaker_Rating_2([0, 1]) AND Overall_Rating_2([0, 1])",0.9826086956521739,0.9826086956521739
"Objectives_Met_2([0, 1])","Venue_Rating_3([0, 1]) AND Venue_Rating_1(0) AND Overall_Rating_1([0, 1]) AND Objectives_Met_3([0, 1]) AND Overall_Rating_2([0, 1]) AND Participant_Rating_1([0, 1]) AND Speaker_Rating_3([0, 1])",0.9826086956521739,0.9826086956521739
"Overall_Rating_3([0, 1]) AND Overall_Rating_1([0, 1])","Venue_Rating_3([0, 1]) AND Participant_Rating_2([0, 1]) AND Objectives_Met_3([0, 1]) AND Speaker_Rating_3([0, 1]) AND Venue_Rating_1(0) AND Participant_Rating_1([0, 1])",0.9826086956521739,0.9826086956521739
"Overall_Rating_2([0, 1]) AND Venue_Rating_3([0, 1])","Schedule_Rating_2([0, 1]) AND Overall_Rating_1(0) AND Participant_Rating_2([0, 1]) AND Speaker_Rating_2([0, 1])",0.9826086956521739,0.9826086956521739
"Venue_Rating_1([0, 1]) AND Objectives_Met_2([0, 1])",Participant_Rating_1(0),0.9739130434782609,0.9739130434782609
"Participant_Rating_2([0, 1]) AND Speaker_Rating_3([0, 1]) AND Venue_Rating_2([0, 1])","Participant_Rating_1(0) AND Overall_Rating_2([0, 1])",0.9739130434782609,0.9739130434782609
"Participant_Rating_2(0) AND Speaker_Rating_2([0, 1])","Participant_Rating_3([0, 1]) AND Objectives_Met_2([0, 1]) AND Speaker_Rating_3([0, 1]) AND Schedule_Rating_2([0, 1])",0.9391304347826087,1.0
"Venue_Rating_1([0, 1]) AND Overall_Rating_3([0, 1]) AND Objectives_Met_1(0) AND Venue_Rating_3([0, 1]) AND Allowance_Rating_2([0, 1])","Objectives_Met_2([0, 1])",0.9217391304347826,1.0
"Objectives_Met_1(0) AND Venue_Rating_1([0, 1]) AND Overall_Rating_3([0, 1])","Schedule_Rating_2([0, 1]) AND Overall_Rating_2([0, 1])",0.9217391304347826,1.0
"Overall_Rating_1([0, 1]) AND Venue_Rating_3([0, 1])","Objectives_Met_2([0, 1]) AND Venue_Rating_1(0) AND Participant_Rating_1(0) AND Speaker_Rating_2([0, 1])",0.9565217391304348,0.9565217391304348
"Overall_Rating_2([0, 1]) AND Participant_Rating_1([0, 1]) AND Objectives_Met_2([0, 1]) AND Allowance_Rating_3(1) AND Speaker_Rating_3([0, 1])","Participant_Rating_2([0, 1]) AND Overall_Rating_1([0, 1]) AND Objectives_Met_1([0, 1]) AND Schedule_Rating_2([0, 1])",0.9043478260869565,1.0
Speaker_Rating_3(1),"Overall_Rating_3([0, 1]) AND Objectives_Met_1([0, 1]) AND Overall_Rating_1([0, 1]) AND Overall_Rating_2([0, 1]) AND Allowance_Rating_2([0, 1]) AND Venue_Rating_3([0, 1]) AND Participant_Rating_2([0, 1])",0.9043478260869565,1.0
"Venue_Rating_3([0, 1]) AND Venue_Rating_1([0, 1]) AND Objectives_Met_2([0, 1]) AND Schedule_Rating_2([0, 1]) AND Participant_Rating_2([0, 1]) AND Speaker_Rating_3(1)","Participant_Rating_1([0, 1])",0.9043478260869565,1.0
"Venue_Rating_3([0, 1]) AND Allowance_Rating_3(1) AND Venue_Rating_1([0, 1]) AND Overall_Rating_2([0, 1])","Participant_Rating_2([0, 1])",0.9043478260869565,1.0
"Objectives_Met_3([0, 1]) AND Speaker_Rating_3(1)","Speaker_Rating_2([0, 1]) AND Allowance_Rating_2([0, 1]) AND Overall_Rating_1([0, 1]) AND Overall_Rating_3([0, 1]) AND Objectives_Met_2([0, 1]) AND Participant_Rating_3([0, 1]) AND Facilitator_Rating_2([0, 1]) AND Participant_Rating_2([0, 1])",0.9043478260869565,1.0
"Facilitator_Rating_3([0, 1]) AND Allowance_Rating_2(0) AND Overall_Rating_2([0, 1])","Participant_Rating_3([0, 1]) AND Overall_Rating_3([0, 1]) AND Overall_Rating_1(0) AND Objectives_Met_1([0, 1]) AND Venue_Rating_2([0, 1]) AND Allowance_Rating_3([0, 1])",0.9043478260869565,1.0
"Objectives_Met_3([0, 1]) AND Participant_Rating_2([0, 1]) AND Speaker_Rating_3(1) AND Overall_Rating_2([0, 1])","Venue_Rating_3([0, 1]) AND Participant_Rating_1([0, 1]) AND Allowance_Rating_3([0, 1]) AND Overall_Rating_1([0, 1]) AND Objectives_Met_1([0, 1]) AND Allowance_Rating_2([0, 1])",0.9043478260869565,1.0
"Venue_Rating_3([0, 1]) AND Venue_Rating_1([0, 1]) AND Speaker_Rating_3(1) AND Participant_Rating_2([0, 1])","Participant_Rating_1([0, 1])",0.9043478260869565,1.0
"Venue_Rating_1([0, 1]) AND Participant_Rating_1([0, 1]) AND Allowance_Rating_3(1) AND Objectives_Met_1([0, 1])","Overall_Rating_2([0, 1]) AND Participant_Rating_2([0, 1]) AND Schedule_Rating_2([0, 1])",0.9043478260869565,1.0
"Participant_Rating_2([0, 1]) AND Speaker_Rating_3(1) AND Overall_Rating_2([0, 1])","Venue_Rating_3([0, 1]) AND Allowance_Rating_3([0, 1]) AND Overall_Rating_1([0, 1]) AND Objectives_Met_1([0, 1]) AND Allowance_Rating_2([0, 1])",0.9043478260869565,1.0
"Participant_Rating_2([0, 1]) AND Venue_Rating_3([0, 1]) AND Speaker_Rating_3(1) AND Overall_Rating_2([0, 1])","Objectives_Met_1([0, 1]) AND Allowance_Rating_2([0, 1])",0.9043478260869565,1.0
"Participant_Rating_2([0, 1]) AND Speaker_Rating_3(1)","Participant_Rating_1([0, 1]) AND Participant_Rating_3([0, 1])",0.9043478260869565,1.0
"Venue_Rating_1([0, 1]) AND Speaker_Rating_2(0)","Schedule_Rating_2([0, 1])",0.9043478260869565,1.0
"Venue_Rating_1([0, 1]) AND Participant_Rating_1([0, 1]) AND Allowance_Rating_3(1) AND Participant_Rating_2([0, 1]) AND Schedule_Rating_3([0, 1]) AND Overall_Rating_2([0, 1])","Facilitator_Rating_3([0, 1]) AND Schedule_Rating_2([0, 1])",0.9043478260869565,1.0
"Allowance_Rating_3(1) AND Participant_Rating_1([0, 1]) AND Objectives_Met_1([0, 1])","Schedule_Rating_2([0, 1]) AND Overall_Rating_2([0, 1]) AND Participant_Rating_2([0, 1]) AND Speaker_Rating_3([0, 1])",0.9043478260869565,1.0
"Speaker_Rating_3(1) AND Overall_Rating_2([0, 1]) AND Participant_Rating_2([0, 1]) AND Venue_Rating_3([0, 1])","Allowance_Rating_2([0, 1]) AND Objectives_Met_1([0, 1])",0.9043478260869565,1.0
"Participant_Rating_2([0, 1]) AND Venue_Rating_3([0, 1]) AND Speaker_Rating_3(1) AND Venue_Rating_1([0, 1])","Venue_Rating_2([0, 1]) AND Participant_Rating_1([0, 1])",0.9043478260869565,1.0
"Speaker_Rating_3([0, 1]) AND Overall_Rating_2([0, 1]) AND Participant_Rating_2([0, 1]) AND Allowance_Rating_2(0) AND Venue_Rating_3([0, 1])","Participant_Rating_3([0, 1])",0.9043478260869565,1.0
"Venue_Rating_1([0, 1]) AND Speaker_Rating_3(1)","Venue_Rating_2([0, 1]) AND Venue_Rating_3([0, 1]) AND Objectives_Met_2([0, 1]) AND Participant_Rating_1([0, 1])",0.9043478260869565,1.0
"Facilitator_Rating_3([0, 1]) AND Participant_Rating_2([0, 1]) AND Venue_Rating_1([0, 1]) AND Speaker_Rating_3(1)","Overall_Rating_1([0, 1]) AND Objectives_Met_1([0, 1]) AND Participant_Rating_1([0, 1]) AND Participant_Rating_3([0, 1])",0.9043478260869565,1.0
"Speaker_Rating_3([0, 1]) AND Allowance_Rating_2(0) AND Objectives_Met_3([0, 1])","Overall_Rating_3([0, 1]) AND Speaker_Rating_2([0, 1]) AND Facilitator_Rating_2([0, 1]) AND Objectives_Met_2([0, 1]) AND Overall_Rating_1([0, 1]) AND Participant_Rating_1([0, 1])",0.9043478260869565,1.0
"Speaker_Rating_3([0, 1]) AND Venue_Rating_2([0, 1]) AND Allowance_Rating_2(0) AND Overall_Rating_1([0, 1]) AND Objectives_Met_3([0, 1]) AND Venue_Rating_1([0, 1]) AND Venue_Rating_3([0, 1])","Participant_Rating_2([0, 1]) AND Participant_Rating_1([0, 1])",0.9043478260869565,1.0
"Objectives_Met_3([0, 1]) AND Speaker_Rating_3(1) AND Overall_Rating_1([0, 1]) AND Allowance_Rating_2([0, 1]) AND Overall_Rating_3([0, 1]) AND Objectives_Met_2([0, 1]) AND Venue_Rating_3([0, 1])","Participant_Rating_2([0, 1])",0.9043478260869565,1.0
"Speaker_Rating_3(1) AND Overall_Rating_1([0, 1]) AND Overall_Rating_3([0, 1])","Allowance_Rating_2([0, 1]) AND Venue_Rating_3([0, 1]) AND Participant_Rating_2([0, 1]) AND Venue_Rating_1([0, 1])",0.9043478260869565,1.0
"Venue_Rating_3([0, 1]) AND Speaker_Rating_3(1) AND Schedule_Rating_2([0, 1]) AND Venue_Rating_1([0, 1]) AND Overall_Rating_2([0, 1])","Participant_Rating_1([0, 1]) AND Participant_Rating_2([0, 1]) AND Participant_Rating_3([0, 1])",0.9043478260869565,1.0
"Speaker_Rating_3(1) AND Speaker_Rating_2([0, 1]) AND Overall_Rating_3([0, 1]) AND Allowance_Rating_2([0, 1]) AND Overall_Rating_1([0, 1]) AND Venue_Rating_3([0, 1])","Participant_Rating_2([0, 1])",0.9043478260869565,1.0
"Speaker_Rating_3(1) AND Facilitator_Rating_3([0, 1]) AND Participant_Rating_2([0, 1]) AND Participant_Rating_1([0, 1])","Objectives_Met_1([0, 1])",0.9043478260869565,1.0
